run,scenario,round,ttft_s,prefill_tps,decode_tps,total_s,completion_tokens,accept_rate
sglang,short_coding_gen,0,0.2177,574.2,178.5,3.086,512,
sglang,short_coding_gen,1,0.1281,975.7,164.0,3.251,512,
sglang,short_coding_gen,2,0.1342,931.6,179.7,2.983,512,
sglang,short_coding_gen,3,0.1247,1002.5,166.2,3.205,512,
sglang,short_coding_gen,4,0.1190,1050.1,147.8,3.583,512,
sglang,longctx_32k_prefill,0,4.1603,7845.4,121.8,6.262,256,
sglang,longctx_32k_prefill,1,4.1539,7857.5,141.9,5.958,256,
sglang,longctx_32k_prefill,2,4.1351,7893.2,123.4,6.209,256,
sglang,longctx_32k_prefill,3,4.1310,7901.1,125.6,6.170,256,
sglang,longctx_32k_prefill,4,4.1144,7932.9,124.5,6.170,256,
sglang,longctx_32k_longgen,0,4.1382,7887.2,120.4,6.639,301,
sglang,longctx_32k_longgen,1,4.1026,7955.7,130.1,8.467,568,
sglang,longctx_32k_longgen,2,3.8198,8544.7,150.5,8.392,688,
sglang,longctx_32k_longgen,3,4.0787,8002.4,134.2,9.018,663,
sglang,longctx_32k_longgen,4,4.0476,8063.8,121.9,6.903,348,
sglang,longctx_128k_prefill,0,35.7392,3653.1,113.6,36.866,128,
sglang,longctx_128k_prefill,1,35.6304,3664.3,114.9,36.744,128,
sglang,longctx_128k_prefill,2,35.6134,3666.0,121.0,36.672,128,
sglang,longctx_128k_prefill,3,35.6892,3658.2,111.1,36.841,128,
sglang,longctx_128k_prefill,4,35.6590,3661.3,112.1,36.801,128,
sglang,conc2_short,0,0.2211,565.4,167.9,3.271,512.0,
sglang,conc2_short,1,0.1819,687.0,148.3,3.640,512.0,
sglang,conc2_short,2,0.2143,583.2,155.4,3.561,512.0,
sglang,conc2_short,3,0.2133,586.1,179.8,3.073,512.0,
sglang,conc2_short,4,0.1911,654.0,157.2,3.449,512.0,
sglang,conc2_long_distinct,0,6.0767,5371.2,88.6,9.979,256.0,
sglang,conc2_long_distinct,1,6.0839,5364.8,82.0,10.170,256.0,
sglang,conc2_long_distinct,2,6.0775,5370.4,76.9,10.219,256.0,
sglang,conc2_long_distinct,3,6.0590,5386.9,87.2,9.997,256.0,
sglang,conc2_long_distinct,4,6.0549,5390.5,77.8,10.176,256.0,
ninfer-nvfp4,short_coding_gen,0,0.0978,1698.2,154.0,3.421,512,0.5824
ninfer-nvfp4,short_coding_gen,1,0.1056,1571.3,143.5,3.673,512,0.5183
ninfer-nvfp4,short_coding_gen,2,0.1100,1509.0,152.5,3.467,512,0.5747
ninfer-nvfp4,short_coding_gen,3,0.1079,1537.8,179.1,2.966,512,0.7389
ninfer-nvfp4,short_coding_gen,4,0.0849,1956.0,174.9,3.012,512,0.7053
ninfer-nvfp4,longctx_32k_prefill,0,4.6380,7037.3,132.3,6.572,256,0.5083
ninfer-nvfp4,longctx_32k_prefill,1,4.6567,7009.1,138.8,6.502,256,0.5579
ninfer-nvfp4,longctx_32k_prefill,2,4.6537,7013.6,141.6,6.461,256,0.5771
ninfer-nvfp4,longctx_32k_prefill,3,4.6816,6971.8,133.2,6.603,256,0.5184
ninfer-nvfp4,longctx_32k_prefill,4,4.6599,7004.3,136.2,6.540,256,0.5395
ninfer-nvfp4,longctx_32k_longgen,0,4.6890,6960.7,146.4,11.682,1024,0.6046
ninfer-nvfp4,longctx_32k_longgen,1,4.6679,6992.3,150.5,11.473,1024,0.6278
ninfer-nvfp4,longctx_32k_longgen,2,4.6753,6981.1,136.8,12.162,1024,0.5420
