scenario,label,ttft_s,prefill_tps,decode_tps,total_s,wall_s
short_coding_gen,sglang,0.1281,975.7,166.2,3.205,-
short_coding_gen,ninfer-nvfp4,0.1056,1571.3,154.0,3.421,-
short_coding_gen,ninfer-mtp,0.1505,1083.4,153.6,3.497,-
longctx_32k_prefill,sglang,4.1351,7893.2,124.5,6.170,-
longctx_32k_prefill,ninfer-nvfp4,4.6567,7009.1,136.2,6.540,-
longctx_32k_prefill,ninfer-mtp,11.6474,2802.3,146.0,13.398,-
longctx_32k_longgen,sglang,4.0787,8002.4,130.1,8.392,-
longctx_32k_longgen,ninfer-nvfp4,4.6679,6992.3,145.9,11.682,-
longctx_32k_longgen,ninfer-mtp,11.6879,2792.6,144.7,18.745,-
longctx_128k_prefill,sglang,35.6590,3661.3,113.6,36.801,-
longctx_128k_prefill,ninfer-nvfp4,34.6369,3769.4,147.4,35.564,-
longctx_128k_prefill,ninfer-mtp,63.1314,2068.1,143.9,64.051,-
conc2_short,sglang,0.2133,586.1,157.2,3.449,3.498
conc2_short,ninfer-nvfp4,0.1299,1277.5,161.7,3.316,3.448
conc2_short,ninfer-mtp,0.2425,672.2,116.3,4.645,4.813
conc2_long_distinct,sglang,6.0767,5371.2,82.0,10.170,10.219
conc2_long_distinct,ninfer-nvfp4,7.3860,4419.0,82.9,11.716,12.121
conc2_long_distinct,ninfer-mtp,17.8290,1830.7,66.3,25.841,26.221
